
Shaped, 有序
Crushed Copper Ore, 粉碎铜矿石
Nugget, 粒
Copper Nugget, 铜粒
Shard, 碎片
Diamond Shard, 钻石碎片
Cable, (?)线缆
Copper Cable, 铜线缆
Insulated, 绝缘
Wire, (?)导线
Copper Wire, 铜导线
Disc, 唱片
Chest, 箱，箱子
Diamond Chest, 钻石箱子
Quantum Chest, 量子箱
Dust, 粉
Copper Dust, 铜粉
Purified, 纯净的
Crushed, 粉碎的
Impure, 含杂
Centrifuged, 离心
Tiny Pile of, 小撮
Small Pile of, 小堆
Pile of, 一堆
Cell, 单元, 流体容器
Unit, 单元, 流体容器
Lava Cell, 熔岩单元
Cell, 棒, 核燃料
Thorium Cell, 钍棒
Bucket, 桶
Lava Bucket, 熔岩桶
Plate, 板
Copper Plate, 铜板
Dense, 致密
Rune, 符文
Rune of Fire, 火之符文
Helmet, 头盔
Copper Helmet, 铜头盔
Chestplate, 胸甲
Copper Chestplate, 铜胸甲
Leggings, 护腿
Copper Leggings, 铜护腿
Boots, 靴子
Copper Boots, 铜靴子
Cap, 帽子
Leather Cap, 皮革帽子
Tunic, 外套
Leather Tunic, 皮革外套
Pants, 裤子
Leather Pants, 皮革裤子
Sword, 剑
Bronze Sword, 青铜剑
Shovel/Spade, 锹
Bronze Shovel, 青铜锹
Pickaxe, 镐
Bronze Pickaxe, 青铜镐
Axe, 斧
Ax, 斧
Bronze Axe, 青铜斧
Hoe, 锄
Bronze Hoe, 青铜锄
Saw, 锯
Bronze Saw, 青铜锯
Bow, 弓
Crystal Bow, 水晶弓
Wrench, 扳手
Bronze Wrench, 青铜扳手
Hammer, 锤
Bronze Hammer, 青铜锤
Soft Hammer, 软锤
Bronze Soft Hammer, 青铜软锤
File, 锉刀
Bronze File, 青铜锉刀
Crowbar, 撬棍
Bronze Crowbar, 青铜撬棍
Screwdriver, 螺丝刀
Bronze Screwdriver, 青铜螺丝刀
Mortar, 臼
Bronze Mortar, 青铜臼
Chisel, 凿
Bronze Chisel, 青铜凿
Broadsword, 大剑
Longsword, 长剑
Rapier, 西洋剑
Dagger, 匕首
Lumber Axe, 伐木斧
Mattock, 鹤嘴锄
Wire Cutter, 剪线钳
Scoop, 捕蜂网
Branch Cutter, 剪枝工具
Universal Spade, 工兵铲
Knife, 刀
Butchery Knife, 屠刀
Sense, 镰刀
Scythe, 镰刀
Plow, 除雪锹
Plunger, 搋
Rolling Pin, 擀面杖
Drill, 电钻, 用电工具
Chainsaw, 电锯
JackHammer, 凿岩锤
Drill, 钻头, 物品，不用电工具
Diamond Drill, 钻石钻头
Ring, 戒指，戒，指环
Ring of Loki, 洛基之戒
Ring of the Mantle, 地幔指环
Seeds, 种子
Melon Seeds, 西瓜种子
Shears, 剪刀
Copper Shears, 铜剪刀
Casing, 外壳
Item Casing, 外壳
Hull, 外壳
Copper Item Casing, 铜制外壳
Circuit Board, 电路板
Board, 电路板
Circuit, 电路
Orb, 球，宝珠
Data Orb, 数据球
Blood Orb, 气血宝珠
Machine, 机, 后缀
Solid Canning Machine, 固体装罐机
Machine, 机械, 概括
Standard Machine Casing, 普通机械外壳
Generator, 发电机, 机械，产电
Geothermal Generator, 地热发电机
Generator, 发生器, 机械，产其它能量
Steam Kinetic Generator, 蒸汽动能发生器
Turbine, 涡轮
Steam Turbine, 蒸汽涡轮
Motor, 马达
Electric Motor, 电动马达
Crystal, 水晶
Lapotron Crystal, 兰波顿水晶
Coil, 线圈
Tank, 储罐, 储存流体容器，物品或方块
Portable Tank, 便携储罐
Ender Tank, 末影储罐
Tank, 流体/气体/液体缓存, 机器内部缓存，视语境
Tank, <根据语境>, 其它意思，如鱼缸，或者能开炮的那种等
Ritual, 仪式
Arrow, 箭
Arrow of <>, <>之箭
Potion, 药水
Splash, 喷溅型
Lingering, 滞留型

## TE系列

Creative, 创造
Basic, 基础
Hardened, 硬化
Reinforced, 强化
Resonant, 谐振
Augment, 拓展组件
Capacitor, 电容
Leadstone Flux Capacitor, 铅石RF电容
Schematic, 图纸
Florb, 流体球
Servo, 伺服器
Satchel, 背包
Energy Cell, 能量单元
Machine Frame, 机器框架
Energy Cell Frame, 能量单元框架
Rockwool, 石棉
Sponge, 海绵
Strongbox, 保险箱
Workbench, 工作台
Invar, 殷钢
Electrum, 琥珀金
Redstone Flux, RF

## TC系列

Aura, 灵气
Arcane, 奥术
Golem, 傀儡
Thaumium, 神秘
Thaumic, 神秘
Thaumaturgy, 神秘学
Alchemy, 炼金术
Artifice, 炼化学
Golemancy, 傀儡学
Eldritch, 邪术学
Primal, 元始
Taint, 腐化
Aspect, 要素
Eldritch, 邪术
Cultist, 血腥
Node, 节点
Flux, 咒波
Amulet, 护身符
Ring, 指环
Belt, 腰带
Wand, 法杖
Scepter, 权杖
Staff, 手杖
Wand Focus, 法杖核心
Cap, 杖端
Rod, 杖柄
Staff Core, 杖芯
Seal, 印记
Control Seal, 操控印记
Warp, 扭曲

## GT系列

Lapis, 青金石
Lazurite, 结晶青金石
Kanthal, 坝塔尔合金
Sterling Silver, 标准银
Enriched Copper, 富集铜
Fluxed Electrum, 软质琥珀金
Fluxed Obsidian, 软质黑曜石
Infuscolium, 魔金
Starconium, 星辰金
Thyrium, 鍪银
Endium, 末金
Zectium, 泽克金属
Mercassium, 原力金属
Osmonium, 辉锇
Nikolite, 蓝石
Teslatite, 充能蓝石
Forcicium, 力场宝石
Forcillium, 力场晶体
Elvenelementium, 精灵源质
Phoenixite, 凤凰石
DiamondCopper, 铜钻
Phasedgold, 脉冲金
Phaseiron, 脉冲合金铁
Tarpitch, 焦油沥青
Concrete, 湿混凝土
Satinspar, 纤维石
Blue Vitriol, 胆矾
Sodium Persulfate, 过硫酸钠
Lubricant, 润滑油
Fuel, 燃油
Hydric Sulfide, 硫化氢
Refinery Gas, 炼油气
Sulfuric Gas, 硫化气
Epoxid, 环氧聚合物
Nitration Mixture, 硝化混合物
Nitro-Carbon,
Sulfuric, 含硫的
Cracked, 裂化的
Hot Frying Oil, 热煎炸油
Platinum Group Sludge, 铂系金属沉积泥
